points: customPlane
(-10.919244,0.178574,-0.497470)(-10.741717,0.216894,-0.805719)(0.000000,1.000000,0.337255)
(-10.907881,0.127553,-0.491321)(-10.713079,0.120496,-0.774610)(0.000000,1.000000,0.337255)
(-10.907881,0.127553,-0.491321)(-10.896518,0.076532,-0.485171)(0.000000,1.000000,0.337255)
(-10.907881,0.127553,-0.491321)(-10.727398,0.168695,-0.790165)(0.000000,1.000000,0.337255)
(-10.896518,0.076532,-0.485171)(-10.698760,0.072298,-0.759056)(0.000000,1.000000,0.337255)
(-10.896518,0.076532,-0.485171)(-10.885155,0.025511,-0.479022)(0.000000,1.000000,0.337255)
(-10.896518,0.076532,-0.485171)(-10.713079,0.120496,-0.774610)(0.000000,1.000000,0.337255)
(-10.885155,0.025511,-0.479022)(-10.684441,0.024099,-0.743501)(0.000000,1.000000,0.337255)
(-10.885155,0.025511,-0.479022)(-10.873792,-0.025511,-0.472873)(0.000000,1.000000,0.337255)
(-10.885155,0.025511,-0.479022)(-10.698760,0.072298,-0.759056)(0.000000,1.000000,0.337255)
(-10.873792,-0.025511,-0.472873)(-10.670122,-0.024099,-0.727947)(0.000000,1.000000,0.337255)
(-10.873792,-0.025511,-0.472873)(-10.862429,-0.076532,-0.466723)(0.000000,1.000000,0.337255)
(-10.873792,-0.025511,-0.472873)(-10.684441,0.024099,-0.743501)(0.000000,1.000000,0.337255)
(-10.862429,-0.076532,-0.466723)(-10.655803,-0.072298,-0.712392)(0.000000,1.000000,0.337255)
(-10.862429,-0.076532,-0.466723)(-10.851066,-0.127553,-0.460574)(0.000000,1.000000,0.337255)
(-10.862429,-0.076532,-0.466723)(-10.670122,-0.024099,-0.727947)(0.000000,1.000000,0.337255)
(-10.851066,-0.127553,-0.460574)(-10.641484,-0.120496,-0.696837)(0.000000,1.000000,0.337255)
(-10.851066,-0.127553,-0.460574)(-10.839703,-0.178574,-0.454425)(0.000000,1.000000,0.337255)
(-10.851066,-0.127553,-0.460574)(-10.655803,-0.072298,-0.712392)(0.000000,1.000000,0.337255)
(-10.839703,-0.178574,-0.454425)(-10.627165,-0.168695,-0.681283)(0.000000,1.000000,0.337255)
(-10.839703,-0.178574,-0.454425)(-10.828340,-0.229595,-0.448275)(0.000000,1.000000,0.337255)
(-10.839703,-0.178574,-0.454425)(-10.641484,-0.120496,-0.696837)(0.000000,1.000000,0.337255)
(-10.828340,-0.229595,-0.448275)(-10.612846,-0.216894,-0.665728)(0.000000,1.000000,0.337255)
(-10.828340,-0.229595,-0.448275)(-10.816977,-0.280616,-0.442126)(0.000000,1.000000,0.337255)
(-10.828340,-0.229595,-0.448275)(-10.627165,-0.168695,-0.681283)(0.000000,1.000000,0.337255)
(-10.816977,-0.280616,-0.442126)(-10.598527,-0.265092,-0.650174)(0.000000,1.000000,0.337255)
(-10.816977,-0.280616,-0.442126)(-10.805614,-0.331637,-0.435976)(0.000000,1.000000,0.337255)
(-10.816977,-0.280616,-0.442126)(-10.612846,-0.216894,-0.665728)(0.000000,1.000000,0.337255)
(-10.805614,-0.331637,-0.435976)(-10.584208,-0.313291,-0.634619)(0.000000,1.000000,0.337255)
(-10.805614,-0.331637,-0.435976)(-10.794251,-0.382658,-0.429827)(0.000000,1.000000,0.337255)
(-10.805614,-0.331637,-0.435976)(-10.598527,-0.265092,-0.650174)(0.000000,1.000000,0.337255)
(-10.794251,-0.382658,-0.429827)(-10.569889,-0.361489,-0.619065)(0.000000,1.000000,0.337255)
(-10.794251,-0.382658,-0.429827)(-10.782888,-0.433679,-0.423678)(0.000000,1.000000,0.337255)
(-10.794251,-0.382658,-0.429827)(-10.584208,-0.313291,-0.634619)(0.000000,1.000000,0.337255)
(-10.782888,-0.433679,-0.423678)(-10.555570,-0.409688,-0.603510)(0.000000,1.000000,0.337255)
(-10.782888,-0.433679,-0.423678)(-10.771525,-0.484700,-0.417528)(0.000000,1.000000,0.337255)
(-10.782888,-0.433679,-0.423678)(-10.569889,-0.361489,-0.619065)(0.000000,1.000000,0.337255)
(-10.771525,-0.484700,-0.417528)(-10.541251,-0.457887,-0.587955)(0.000000,1.000000,0.337255)
(-10.771525,-0.484700,-0.417528)(-10.555570,-0.409688,-0.603510)(0.000000,1.000000,0.337255)
(-10.813312,0.457887,-0.883492)(-10.511549,0.418583,-1.166214)(0.000000,1.000000,0.337255)
(-10.813312,0.457887,-0.883492)(-10.798993,0.409688,-0.867938)(0.000000,1.000000,0.337255)
(-10.798993,0.409688,-0.867938)(-10.499985,0.374522,-1.139851)(0.000000,1.000000,0.337255)
(-10.798993,0.409688,-0.867938)(-10.784674,0.361489,-0.852383)(0.000000,1.000000,0.337255)
(-10.798993,0.409688,-0.867938)(-10.511549,0.418583,-1.166214)(0.000000,1.000000,0.337255)
(-10.784674,0.361489,-0.852383)(-10.488422,0.330460,-1.113489)(0.000000,1.000000,0.337255)
(-10.784674,0.361489,-0.852383)(-10.770355,0.313291,-0.836829)(0.000000,1.000000,0.337255)
(-10.784674,0.361489,-0.852383)(-10.499985,0.374522,-1.139851)(0.000000,1.000000,0.337255)
(-10.770355,0.313291,-0.836829)(-10.476858,0.286399,-1.087127)(0.000000,1.000000,0.337255)
(-10.770355,0.313291,-0.836829)(-10.756036,0.265092,-0.821274)(0.000000,1.000000,0.337255)
(-10.770355,0.313291,-0.836829)(-10.488422,0.330460,-1.113489)(0.000000,1.000000,0.337255)
(-10.756036,0.265092,-0.821274)(-10.465295,0.242338,-1.060765)(0.000000,1.000000,0.337255)
(-10.756036,0.265092,-0.821274)(-10.741717,0.216894,-0.805719)(0.000000,1.000000,0.337255)
(-10.756036,0.265092,-0.821274)(-10.476858,0.286399,-1.087127)(0.000000,1.000000,0.337255)
(-10.741717,0.216894,-0.805719)(-10.453731,0.198276,-1.034403)(0.000000,1.000000,0.337255)
(-10.741717,0.216894,-0.805719)(-10.727398,0.168695,-0.790165)(0.000000,1.000000,0.337255)
(-10.741717,0.216894,-0.805719)(-10.465295,0.242338,-1.060765)(0.000000,1.000000,0.337255)
(-10.727398,0.168695,-0.790165)(-10.442168,0.154215,-1.008041)(0.000000,1.000000,0.337255)
(-10.727398,0.168695,-0.790165)(-10.713079,0.120496,-0.774610)(0.000000,1.000000,0.337255)
(-10.727398,0.168695,-0.790165)(-10.453731,0.198276,-1.034403)(0.000000,1.000000,0.337255)
(-10.713079,0.120496,-0.774610)(-10.430604,0.110153,-0.981679)(0.000000,1.000000,0.337255)
(-10.713079,0.120496,-0.774610)(-10.698760,0.072298,-0.759056)(0.000000,1.000000,0.337255)
(-10.713079,0.120496,-0.774610)(-10.442168,0.154215,-1.008041)(0.000000,1.000000,0.337255)
(-10.698760,0.072298,-0.759056)(-10.419041,0.066092,-0.955317)(0.000000,1.000000,0.337255)
(-10.698760,0.072298,-0.759056)(-10.684441,0.024099,-0.743501)(0.000000,1.000000,0.337255)
(-10.698760,0.072298,-0.759056)(-10.430604,0.110153,-0.981679)(0.000000,1.000000,0.337255)
(-10.684441,0.024099,-0.743501)(-10.407477,0.022031,-0.928954)(0.000000,1.000000,0.337255)
(-10.684441,0.024099,-0.743501)(-10.670122,-0.024099,-0.727947)(0.000000,1.000000,0.337255)
(-10.684441,0.024099,-0.743501)(-10.419041,0.066092,-0.955317)(0.000000,1.000000,0.337255)
(-10.670122,-0.024099,-0.727947)(-10.395914,-0.022031,-0.902592)(0.000000,1.000000,0.337255)
(-10.670122,-0.024099,-0.727947)(-10.655803,-0.072298,-0.712392)(0.000000,1.000000,0.337255)
(-10.670122,-0.024099,-0.727947)(-10.407477,0.022031,-0.928954)(0.000000,1.000000,0.337255)
(-10.655803,-0.072298,-0.712392)(-10.384350,-0.066092,-0.876230)(0.000000,1.000000,0.337255)
(-10.655803,-0.072298,-0.712392)(-10.641484,-0.120496,-0.696837)(0.000000,1.000000,0.337255)
(-10.655803,-0.072298,-0.712392)(-10.395914,-0.022031,-0.902592)(0.000000,1.000000,0.337255)
(-10.641484,-0.120496,-0.696837)(-10.372787,-0.110153,-0.849868)(0.000000,1.000000,0.337255)
(-10.641484,-0.120496,-0.696837)(-10.627165,-0.168695,-0.681283)(0.000000,1.000000,0.337255)
(-10.641484,-0.120496,-0.696837)(-10.384350,-0.066092,-0.876230)(0.000000,1.000000,0.337255)
(-10.627165,-0.168695,-0.681283)(-10.361223,-0.154215,-0.823506)(0.000000,1.000000,0.337255)
(-10.627165,-0.168695,-0.681283)(-10.612846,-0.216894,-0.665728)(0.000000,1.000000,0.337255)
(-10.627165,-0.168695,-0.681283)(-10.372787,-0.110153,-0.849868)(0.000000,1.000000,0.337255)
(-10.612846,-0.216894,-0.665728)(-10.349660,-0.198276,-0.797144)(0.000000,1.000000,0.337255)
(-10.612846,-0.216894,-0.665728)(-10.598527,-0.265092,-0.650174)(0.000000,1.000000,0.337255)
(-10.612846,-0.216894,-0.665728)(-10.361223,-0.154215,-0.823506)(0.000000,1.000000,0.337255)
(-10.598527,-0.265092,-0.650174)(-10.338096,-0.242338,-0.770782)(0.000000,1.000000,0.337255)
(-10.598527,-0.265092,-0.650174)(-10.584208,-0.313291,-0.634619)(0.000000,1.000000,0.337255)
(-10.598527,-0.265092,-0.650174)(-10.349660,-0.198276,-0.797144)(0.000000,1.000000,0.337255)
(-10.584208,-0.313291,-0.634619)(-10.326533,-0.286399,-0.744419)(0.000000,1.000000,0.337255)
(-10.584208,-0.313291,-0.634619)(-10.569889,-0.361489,-0.619065)(0.000000,1.000000,0.337255)
(-10.584208,-0.313291,-0.634619)(-10.338096,-0.242338,-0.770782)(0.000000,1.000000,0.337255)
(-10.569889,-0.361489,-0.619065)(-10.314969,-0.330460,-0.718057)(0.000000,1.000000,0.337255)
(-10.569889,-0.361489,-0.619065)(-10.555570,-0.409688,-0.603510)(0.000000,1.000000,0.337255)
(-10.569889,-0.361489,-0.619065)(-10.326533,-0.286399,-0.744419)(0.000000,1.000000,0.337255)
(-10.555570,-0.409688,-0.603510)(-10.303406,-0.374522,-0.691695)(0.000000,1.000000,0.337255)
(-10.555570,-0.409688,-0.603510)(-10.541251,-0.457887,-0.587955)(0.000000,1.000000,0.337255)
(-10.555570,-0.409688,-0.603510)(-10.314969,-0.330460,-0.718057)(0.000000,1.000000,0.337255)
(-10.541251,-0.457887,-0.587955)(-10.291842,-0.418583,-0.665333)(0.000000,1.000000,0.337255)
(-10.541251,-0.457887,-0.587955)(-10.303406,-0.374522,-0.691695)(0.000000,1.000000,0.337255)
(-10.511549,0.418583,-1.166214)(-10.110544,0.367862,-1.334069)(0.000000,1.000000,0.337255)
(-10.511549,0.418583,-1.166214)(-10.499985,0.374522,-1.139851)(0.000000,1.000000,0.337255)
(-10.499985,0.374522,-1.139851)(-10.107600,0.329140,-1.298544)(0.000000,1.000000,0.337255)
(-10.499985,0.374522,-1.139851)(-10.488422,0.330460,-1.113489)(0.000000,1.000000,0.337255)
(-10.499985,0.374522,-1.139851)(-10.110544,0.367862,-1.334069)(0.000000,1.000000,0.337255)
(-10.488422,0.330460,-1.113489)(-10.104657,0.290417,-1.263019)(0.000000,1.000000,0.337255)
(-10.488422,0.330460,-1.113489)(-10.476858,0.286399,-1.087127)(0.000000,1.000000,0.337255)
(-10.488422,0.330460,-1.113489)(-10.107600,0.329140,-1.298544)(0.000000,1.000000,0.337255)
(-10.476858,0.286399,-1.087127)(-10.101713,0.251695,-1.227495)(0.000000,1.000000,0.337255)
(-10.476858,0.286399,-1.087127)(-10.465295,0.242338,-1.060765)(0.000000,1.000000,0.337255)
(-10.476858,0.286399,-1.087127)(-10.104657,0.290417,-1.263019)(0.000000,1.000000,0.337255)
(-10.465295,0.242338,-1.060765)(-10.098769,0.212973,-1.191970)(0.000000,1.000000,0.337255)
(-10.465295,0.242338,-1.060765)(-10.453731,0.198276,-1.034403)(0.000000,1.000000,0.337255)
(-10.465295,0.242338,-1.060765)(-10.101713,0.251695,-1.227495)(0.000000,1.000000,0.337255)
(-10.453731,0.198276,-1.034403)(-10.095826,0.174250,-1.156445)(0.000000,1.000000,0.337255)
(-10.453731,0.198276,-1.034403)(-10.442168,0.154215,-1.008041)(0.000000,1.000000,0.337255)
(-10.453731,0.198276,-1.034403)(-10.098769,0.212973,-1.191970)(0.000000,1.000000,0.337255)
(-10.442168,0.154215,-1.008041)(-10.092882,0.135528,-1.120921)(0.000000,1.000000,0.337255)
(-10.442168,0.154215,-1.008041)(-10.430604,0.110153,-0.981679)(0.000000,1.000000,0.337255)
(-10.442168,0.154215,-1.008041)(-10.095826,0.174250,-1.156445)(0.000000,1.000000,0.337255)
(-10.430604,0.110153,-0.981679)(-10.089938,0.096806,-1.085396)(0.000000,1.000000,0.337255)
(-10.430604,0.110153,-0.981679)(-10.419041,0.066092,-0.955317)(0.000000,1.000000,0.337255)
(-10.430604,0.110153,-0.981679)(-10.092882,0.135528,-1.120921)(0.000000,1.000000,0.337255)
(-10.419041,0.066092,-0.955317)(-10.086995,0.058083,-1.049871)(0.000000,1.000000,0.337255)
(-10.419041,0.066092,-0.955317)(-10.407477,0.022031,-0.928954)(0.000000,1.000000,0.337255)
(-10.419041,0.066092,-0.955317)(-10.089938,0.096806,-1.085396)(0.000000,1.000000,0.337255)
(-10.407477,0.022031,-0.928954)(-10.084051,0.019361,-1.014347)(0.000000,1.000000,0.337255)
(-10.407477,0.022031,-0.928954)(-10.395914,-0.022031,-0.902592)(0.000000,1.000000,0.337255)
(-10.407477,0.022031,-0.928954)(-10.086995,0.058083,-1.049871)(0.000000,1.000000,0.337255)
(-10.395914,-0.022031,-0.902592)(-10.081108,-0.019361,-0.978822)(0.000000,1.000000,0.337255)
(-10.395914,-0.022031,-0.902592)(-10.384350,-0.066092,-0.876230)(0.000000,1.000000,0.337255)
(-10.395914,-0.022031,-0.902592)(-10.084051,0.019361,-1.014347)(0.000000,1.000000,0.337255)
(-10.384350,-0.066092,-0.876230)(-10.078164,-0.058083,-0.943298)(0.000000,1.000000,0.337255)
(-10.384350,-0.066092,-0.876230)(-10.372787,-0.110153,-0.849868)(0.000000,1.000000,0.337255)
(-10.384350,-0.066092,-0.876230)(-10.081108,-0.019361,-0.978822)(0.000000,1.000000,0.337255)
(-10.372787,-0.110153,-0.849868)(-10.075220,-0.096806,-0.907773)(0.000000,1.000000,0.337255)
(-10.372787,-0.110153,-0.849868)(-10.361223,-0.154215,-0.823506)(0.000000,1.000000,0.337255)
(-10.372787,-0.110153,-0.849868)(-10.078164,-0.058083,-0.943298)(0.000000,1.000000,0.337255)
(-10.361223,-0.154215,-0.823506)(-10.072277,-0.135528,-0.872248)(0.000000,1.000000,0.337255)
(-10.361223,-0.154215,-0.823506)(-10.349660,-0.198276,-0.797144)(0.000000,1.000000,0.337255)
(-10.361223,-0.154215,-0.823506)(-10.075220,-0.096806,-0.907773)(0.000000,1.000000,0.337255)
(-10.349660,-0.198276,-0.797144)(-10.069333,-0.174250,-0.836724)(0.000000,1.000000,0.337255)
(-10.349660,-0.198276,-0.797144)(-10.338096,-0.242338,-0.770782)(0.000000,1.000000,0.337255)
(-10.349660,-0.198276,-0.797144)(-10.072277,-0.135528,-0.872248)(0.000000,1.000000,0.337255)
(-10.338096,-0.242338,-0.770782)(-10.066389,-0.212973,-0.801199)(0.000000,1.000000,0.337255)
(-10.338096,-0.242338,-0.770782)(-10.326533,-0.286399,-0.744419)(0.000000,1.000000,0.337255)
(-10.338096,-0.242338,-0.770782)(-10.069333,-0.174250,-0.836724)(0.000000,1.000000,0.337255)
(-10.326533,-0.286399,-0.744419)(-10.063446,-0.251695,-0.765674)(0.000000,1.000000,0.337255)
(-10.326533,-0.286399,-0.744419)(-10.314969,-0.330460,-0.718057)(0.000000,1.000000,0.337255)
(-10.326533,-0.286399,-0.744419)(-10.066389,-0.212973,-0.801199)(0.000000,1.000000,0.337255)
(-10.314969,-0.330460,-0.718057)(-10.060502,-0.290417,-0.730150)(0.000000,1.000000,0.337255)
(-10.314969,-0.330460,-0.718057)(-10.303406,-0.374522,-0.691695)(0.000000,1.000000,0.337255)
(-10.314969,-0.330460,-0.718057)(-10.063446,-0.251695,-0.765674)(0.000000,1.000000,0.337255)
(-10.303406,-0.374522,-0.691695)(-10.057558,-0.329140,-0.694625)(0.000000,1.000000,0.337255)
(-10.303406,-0.374522,-0.691695)(-10.291842,-0.418583,-0.665333)(0.000000,1.000000,0.337255)
(-10.303406,-0.374522,-0.691695)(-10.060502,-0.290417,-0.730150)(0.000000,1.000000,0.337255)
(-10.291842,-0.418583,-0.665333)(-10.054615,-0.367862,-0.659100)(0.000000,1.000000,0.337255)
(-10.291842,-0.418583,-0.665333)(-10.057558,-0.329140,-0.694625)(0.000000,1.000000,0.337255)
(-10.110544,0.367862,-1.334069)(-9.657653,0.307106,-1.351897)(0.000000,1.000000,0.337255)
(-10.110544,0.367862,-1.334069)(-10.107600,0.329140,-1.298544)(0.000000,1.000000,0.337255)
(-10.107600,0.329140,-1.298544)(-9.667849,0.274779,-1.311634)(0.000000,1.000000,0.337255)
(-10.107600,0.329140,-1.298544)(-10.104657,0.290417,-1.263019)(0.000000,1.000000,0.337255)
(-10.107600,0.329140,-1.298544)(-9.657653,0.307106,-1.351897)(0.000000,1.000000,0.337255)
(-10.104657,0.290417,-1.263019)(-9.678045,0.242452,-1.271371)(0.000000,1.000000,0.337255)
(-10.104657,0.290417,-1.263019)(-10.101713,0.251695,-1.227495)(0.000000,1.000000,0.337255)
(-10.104657,0.290417,-1.263019)(-9.667849,0.274779,-1.311634)(0.000000,1.000000,0.337255)
(-10.101713,0.251695,-1.227495)(-9.688241,0.210125,-1.231108)(0.000000,1.000000,0.337255)
(-10.101713,0.251695,-1.227495)(-10.098769,0.212973,-1.191970)(0.000000,1.000000,0.337255)
(-10.101713,0.251695,-1.227495)(-9.678045,0.242452,-1.271371)(0.000000,1.000000,0.337255)
(-10.098769,0.212973,-1.191970)(-9.698437,0.177798,-1.190846)(0.000000,1.000000,0.337255)
(-10.098769,0.212973,-1.191970)(-10.095826,0.174250,-1.156445)(0.000000,1.000000,0.337255)
(-10.098769,0.212973,-1.191970)(-9.688241,0.210125,-1.231108)(0.000000,1.000000,0.337255)
(-10.095826,0.174250,-1.156445)(-9.708633,0.145471,-1.150583)(0.000000,1.000000,0.337255)
(-10.095826,0.174250,-1.156445)(-10.092882,0.135528,-1.120921)(0.000000,1.000000,0.337255)
(-10.095826,0.174250,-1.156445)(-9.698437,0.177798,-1.190846)(0.000000,1.000000,0.337255)
(-10.092882,0.135528,-1.120921)(-9.718829,0.113144,-1.110320)(0.000000,1.000000,0.337255)
(-10.092882,0.135528,-1.120921)(-10.089938,0.096806,-1.085396)(0.000000,1.000000,0.337255)
(-10.092882,0.135528,-1.120921)(-9.708633,0.145471,-1.150583)(0.000000,1.000000,0.337255)
(-10.089938,0.096806,-1.085396)(-9.729025,0.080817,-1.070057)(0.000000,1.000000,0.337255)
(-10.089938,0.096806,-1.085396)(-10.086995,0.058083,-1.049871)(0.000000,1.000000,0.337255)
(-10.089938,0.096806,-1.085396)(-9.718829,0.113144,-1.110320)(0.000000,1.000000,0.337255)
(-10.086995,0.058083,-1.049871)(-9.739221,0.048490,-1.029794)(0.000000,1.000000,0.337255)
(-10.086995,0.058083,-1.049871)(-10.084051,0.019361,-1.014347)(0.000000,1.000000,0.337255)
(-10.086995,0.058083,-1.049871)(-9.729025,0.080817,-1.070057)(0.000000,1.000000,0.337255)
(-10.084051,0.019361,-1.014347)(-9.749417,0.016163,-0.989532)(0.000000,1.000000,0.337255)
(-10.084051,0.019361,-1.014347)(-10.081108,-0.019361,-0.978822)(0.000000,1.000000,0.337255)
(-10.084051,0.019361,-1.014347)(-9.739221,0.048490,-1.029794)(0.000000,1.000000,0.337255)
(-10.081108,-0.019361,-0.978822)(-9.759612,-0.016163,-0.949269)(0.000000,1.000000,0.337255)
(-10.081108,-0.019361,-0.978822)(-10.078164,-0.058083,-0.943298)(0.000000,1.000000,0.337255)
(-10.081108,-0.019361,-0.978822)(-9.749417,0.016163,-0.989532)(0.000000,1.000000,0.337255)
(-10.078164,-0.058083,-0.943298)(-9.769808,-0.048490,-0.909006)(0.000000,1.000000,0.337255)
(-10.078164,-0.058083,-0.943298)(-10.075220,-0.096806,-0.907773)(0.000000,1.000000,0.337255)
(-10.078164,-0.058083,-0.943298)(-9.759612,-0.016163,-0.949269)(0.000000,1.000000,0.337255)
(-10.075220,-0.096806,-0.907773)(-9.780004,-0.080817,-0.868743)(0.000000,1.000000,0.337255)
(-10.075220,-0.096806,-0.907773)(-10.072277,-0.135528,-0.872248)(0.000000,1.000000,0.337255)
(-10.075220,-0.096806,-0.907773)(-9.769808,-0.048490,-0.909006)(0.000000,1.000000,0.337255)
(-10.072277,-0.135528,-0.872248)(-9.790200,-0.113144,-0.828480)(0.000000,1.000000,0.337255)
(-10.072277,-0.135528,-0.872248)(-10.069333,-0.174250,-0.836724)(0.000000,1.000000,0.337255)
(-10.072277,-0.135528,-0.872248)(-9.780004,-0.080817,-0.868743)(0.000000,1.000000,0.337255)
(-10.069333,-0.174250,-0.836724)(-9.800396,-0.145471,-0.788218)(0.000000,1.000000,0.337255)
(-10.069333,-0.174250,-0.836724)(-10.066389,-0.212973,-0.801199)(0.000000,1.000000,0.337255)
(-10.069333,-0.174250,-0.836724)(-9.790200,-0.113144,-0.828480)(0.000000,1.000000,0.337255)
(-10.066389,-0.212973,-0.801199)(-9.810592,-0.177798,-0.747955)(0.000000,1.000000,0.337255)
(-10.066389,-0.212973,-0.801199)(-10.063446,-0.251695,-0.765674)(0.000000,1.000000,0.337255)
(-10.066389,-0.212973,-0.801199)(-9.800396,-0.145471,-0.788218)(0.000000,1.000000,0.337255)
(-10.063446,-0.251695,-0.765674)(-9.820788,-0.210125,-0.707692)(0.000000,1.000000,0.337255)
(-10.063446,-0.251695,-0.765674)(-10.060502,-0.290417,-0.730150)(0.000000,1.000000,0.337255)
(-10.063446,-0.251695,-0.765674)(-9.810592,-0.177798,-0.747955)(0.000000,1.000000,0.337255)
(-10.060502,-0.290417,-0.730150)(-9.830984,-0.242452,-0.667429)(0.000000,1.000000,0.337255)
(-10.060502,-0.290417,-0.730150)(-10.057558,-0.329140,-0.694625)(0.000000,1.000000,0.337255)
(-10.060502,-0.290417,-0.730150)(-9.820788,-0.210125,-0.707692)(0.000000,1.000000,0.337255)
(-10.057558,-0.329140,-0.694625)(-9.841180,-0.274779,-0.627167)(0.000000,1.000000,0.337255)
(-10.057558,-0.329140,-0.694625)(-10.054615,-0.367862,-0.659100)(0.000000,1.000000,0.337255)
(-10.057558,-0.329140,-0.694625)(-9.830984,-0.242452,-0.667429)(0.000000,1.000000,0.337255)
(-10.054615,-0.367862,-0.659100)(-9.851376,-0.307106,-0.586904)(0.000000,1.000000,0.337255)
(-10.054615,-0.367862,-0.659100)(-9.841180,-0.274779,-0.627167)(0.000000,1.000000,0.337255)
(-9.657653,0.307106,-1.351897)(-9.212539,0.237974,-1.205299)(0.000000,1.000000,0.337255)
(-9.657653,0.307106,-1.351897)(-9.667849,0.274779,-1.311634)(0.000000,1.000000,0.337255)
(-9.667849,0.274779,-1.311634)(-9.237856,0.212924,-1.166549)(0.000000,1.000000,0.337255)
(-9.667849,0.274779,-1.311634)(-9.678045,0.242452,-1.271371)(0.000000,1.000000,0.337255)
(-9.667849,0.274779,-1.311634)(-9.212539,0.237974,-1.205299)(0.000000,1.000000,0.337255)
(-9.678045,0.242452,-1.271371)(-9.263173,0.187874,-1.127798)(0.000000,1.000000,0.337255)
(-9.678045,0.242452,-1.271371)(-9.688241,0.210125,-1.231108)(0.000000,1.000000,0.337255)
(-9.678045,0.242452,-1.271371)(-9.237856,0.212924,-1.166549)(0.000000,1.000000,0.337255)
(-9.688241,0.210125,-1.231108)(-9.288490,0.162824,-1.089047)(0.000000,1.000000,0.337255)
(-9.688241,0.210125,-1.231108)(-9.698437,0.177798,-1.190846)(0.000000,1.000000,0.337255)
(-9.688241,0.210125,-1.231108)(-9.263173,0.187874,-1.127798)(0.000000,1.000000,0.337255)
(-9.698437,0.177798,-1.190846)(-9.313807,0.137774,-1.050296)(0.000000,1.000000,0.337255)
(-9.698437,0.177798,-1.190846)(-9.708633,0.145471,-1.150583)(0.000000,1.000000,0.337255)
(-9.698437,0.177798,-1.190846)(-9.288490,0.162824,-1.089047)(0.000000,1.000000,0.337255)
(-9.708633,0.145471,-1.150583)(-9.339125,0.112724,-1.011545)(0.000000,1.000000,0.337255)
(-9.708633,0.145471,-1.150583)(-9.718829,0.113144,-1.110320)(0.000000,1.000000,0.337255)
(-9.708633,0.145471,-1.150583)(-9.313807,0.137774,-1.050296)(0.000000,1.000000,0.337255)
(-9.718829,0.113144,-1.110320)(-9.364442,0.087675,-0.972794)(0.000000,1.000000,0.337255)
(-9.718829,0.113144,-1.110320)(-9.729025,0.080817,-1.070057)(0.000000,1.000000,0.337255)
(-9.718829,0.113144,-1.110320)(-9.339125,0.112724,-1.011545)(0.000000,1.000000,0.337255)
(-9.729025,0.080817,-1.070057)(-9.389759,0.062625,-0.934044)(0.000000,1.000000,0.337255)
(-9.729025,0.080817,-1.070057)(-9.739221,0.048490,-1.029794)(0.000000,1.000000,0.337255)
(-9.729025,0.080817,-1.070057)(-9.364442,0.087675,-0.972794)(0.000000,1.000000,0.337255)
(-9.739221,0.048490,-1.029794)(-9.415076,0.037575,-0.895293)(0.000000,1.000000,0.337255)
(-9.739221,0.048490,-1.029794)(-9.749417,0.016163,-0.989532)(0.000000,1.000000,0.337255)
(-9.739221,0.048490,-1.029794)(-9.389759,0.062625,-0.934044)(0.000000,1.000000,0.337255)
(-9.749417,0.016163,-0.989532)(-9.440393,0.012525,-0.856542)(0.000000,1.000000,0.337255)
(-9.749417,0.016163,-0.989532)(-9.759612,-0.016163,-0.949269)(0.000000,1.000000,0.337255)
(-9.749417,0.016163,-0.989532)(-9.415076,0.037575,-0.895293)(0.000000,1.000000,0.337255)
(-9.759612,-0.016163,-0.949269)(-9.465710,-0.012525,-0.817791)(0.000000,1.000000,0.337255)
(-9.759612,-0.016163,-0.949269)(-9.769808,-0.048490,-0.909006)(0.000000,1.000000,0.337255)
(-9.759612,-0.016163,-0.949269)(-9.440393,0.012525,-0.856542)(0.000000,1.000000,0.337255)
(-9.769808,-0.048490,-0.909006)(-9.491028,-0.037575,-0.779040)(0.000000,1.000000,0.337255)
(-9.769808,-0.048490,-0.909006)(-9.780004,-0.080817,-0.868743)(0.000000,1.000000,0.337255)
(-9.769808,-0.048490,-0.909006)(-9.465710,-0.012525,-0.817791)(0.000000,1.000000,0.337255)
(-9.780004,-0.080817,-0.868743)(-9.516345,-0.062625,-0.740289)(0.000000,1.000000,0.337255)
(-9.780004,-0.080817,-0.868743)(-9.790200,-0.113144,-0.828480)(0.000000,1.000000,0.337255)
(-9.780004,-0.080817,-0.868743)(-9.491028,-0.037575,-0.779040)(0.000000,1.000000,0.337255)
(-9.790200,-0.113144,-0.828480)(-9.541662,-0.087675,-0.701539)(0.000000,1.000000,0.337255)
(-9.790200,-0.113144,-0.828480)(-9.800396,-0.145471,-0.788218)(0.000000,1.000000,0.337255)
(-9.790200,-0.113144,-0.828480)(-9.516345,-0.062625,-0.740289)(0.000000,1.000000,0.337255)
(-9.800396,-0.145471,-0.788218)(-9.566979,-0.112724,-0.662788)(0.000000,1.000000,0.337255)
(-9.800396,-0.145471,-0.788218)(-9.810592,-0.177798,-0.747955)(0.000000,1.000000,0.337255)
(-9.800396,-0.145471,-0.788218)(-9.541662,-0.087675,-0.701539)(0.000000,1.000000,0.337255)
(-9.810592,-0.177798,-0.747955)(-9.592296,-0.137774,-0.624037)(0.000000,1.000000,0.337255)
(-9.810592,-0.177798,-0.747955)(-9.820788,-0.210125,-0.707692)(0.000000,1.000000,0.337255)
